"","GSM3141461_CON_GC_1.CEL","GSM3141462_CON_GC_2.CEL","GSM3141463_CON_GC_3.CEL","GSM3141464_PCOS_GC_1.CEL","GSM3141465_PCOS_GC_2.CEL","GSM3141466_PCOS_GC_3.CEL"
"FAM76A",6.32193002722562,6.36555328365002,6.20972362223882,6.10916040742418,6.26229538463439,6.23852544853096
"STX12",7.203263807473,7.08227364507503,7.05458537789711,7.11073230413263,7.31726200218061,7.02954552930896
"PPP1R8",6.95868943103671,7.32216462490994,7.20930781265106,7.15714969606188,7.12299098936504,7.07985780024821
"SCARNA1",6.53659385234426,5.77838559091416,5.82233632297296,5.8767382222726,5.84522949963099,5.37481424199418
"THEMIS2",7.81353410488936,7.09261340427196,7.2626103474927,7.46795115610079,7.25780486159471,7.71690437173437
"SMPDL3B",5.9043423024028,5.92166750842307,5.9376674233301,5.93637347918295,6.01817425222741,5.95387539342521
"XKR8",7.03724267448704,7.16327427894646,7.07940348553524,7.18364758678823,7.07995359354144,7.0522934626573
"ATP5IF1",7.28411479627261,7.34175691492725,7.40493652115435,7.30394729126491,7.42258056810537,7.36122764913157
"SESN2",7.10453018386972,7.33533840566548,7.29023074132749,7.31312525844429,7.28510195098225,6.9890003382886
"MED18",6.06993728268933,6.31422879260947,6.21166054014761,6.29944666983743,6.1248274586398,6.26644991526853
"PHACTR4",8.71553097077883,8.52739087108253,8.34552440225336,9.25195841944341,8.54692056012166,8.29050811467647
"RCC1",6.88846777207932,7.1655881292083,7.22454120060457,6.9045583928174,7.10621045935948,7.16783573752808
"TRNAU1AP",6.73401062598894,6.78532407327891,6.78564558958396,6.77296471678398,6.72468279536305,6.63595839140709
"RAB42",6.05923479843598,6.07408425606322,6.07892170691783,5.99791799020599,6.05115765433712,5.99886426922807
"RNU11",10.1423507829866,10.0185587718358,10.3190059378922,10.7667425252935,10.6538985091753,10.3258221373244
"GMEB1",7.43578767623757,7.24963904942722,7.24637086230065,7.33787805907828,7.3571656860364,7.24638632363324
"YTHDF2",7.64040610283912,7.77438603098794,7.73179999053935,7.6472743483025,7.60154793507448,7.5583717791349
"OPRD1",6.75151006970385,6.8780543840526,6.77228629475392,6.76942972720352,6.93506181281796,6.83319859269187
"EPB41",7.42648361537371,6.73667379386119,7.0116736281293,7.08058570020582,7.03894316939723,7.1917728435715
"PTPRU",6.00277818998812,6.10399808127426,6.08093825953012,6.133844869665,6.20456278342149,6.08533025259934
"MATN1-AS1",5.54701622390221,5.63695805787657,5.5672041234768,5.44555640084875,5.57352461647633,5.51235810639917
"ZCCHC17",7.8661610786113,8.28323570280704,8.13633104258299,7.80142240523102,8.03183295879445,8.16431776743554
"SERINC2",6.90332937010375,6.77373996568724,6.81790234168597,6.76075377308361,6.79516620250733,6.76499609140316
"LDC1P",5.9888122978255,6.08049814692611,6.01510066084162,6.26034045367033,6.20681717452857,6.00399145172327
"LINC01226",5.15551363461997,5.15911137285723,5.2506083701349,5.09890946098052,5.21690963253848,5.21087542954503
"TINAGL1",6.10321930577256,6.11726859428941,6.11921346385505,6.2866884406175,6.29894078247616,6.1837797819891
"HCRTR1",5.73525069009616,5.79844401363833,5.86774565840168,5.93110994823962,5.89211881730258,5.83864998831565
"KHDRBS1",8.89133278152743,9.04521865782638,9.05893934017294,8.95236424876138,8.97139370374085,8.90263906093514
"TMEM39B",6.75794516296144,6.83474813136971,6.83462423875436,6.80337696502284,6.83307239827839,6.79225742886474
"KPNA6",8.15411221210845,8.27180378415322,8.25504055346919,8.25173490098202,8.24175807598062,8.15405933151446
