"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CDH11",1.57113030518187,6.75117863239746,6.35086264610058,2.25439217293129e-08,3.85663749666204e-06,9.03549336934212,"Upregulated"
"ARPC1B",0.639442717820065,6.40190654900611,6.34517261024297,2.30675677638692e-08,3.86886176582116e-06,9.0136172365352,"No"
"ADTRP",-0.808900591272945,4.00891453628447,-6.34279818850153,2.32896349139967e-08,3.86886176582116e-06,9.00448967700679,"No"
"LINC02381",-0.969510086033286,4.95008400597169,-6.34253028576919,2.33148232241844e-08,3.86886176582116e-06,9.00345987279309,"No"
"PRPF3",0.443214481620712,5.13077172566043,6.33829453436759,2.37166809667055e-08,3.88045155713262e-06,8.98717909925577,"No"
"YWHAG",0.897746668933146,6.63992630946913,6.33688048626278,2.38523598184602e-08,3.88045155713262e-06,8.98174450221889,"No"
"TUBB",0.709288620018969,7.69467672146072,6.33253129194284,2.42745132953667e-08,3.91078906430403e-06,8.96503091737343,"No"
"CKM",-0.493015960770804,4.10371441908009,-6.32133617020856,2.53955695185748e-08,4.05205846722337e-06,8.92202038913108,"No"
"STMN1",0.686133499099794,5.83600027121295,6.30587555801412,2.70286572683948e-08,4.27155751154041e-06,8.86264945380904,"No"
"COLGALT1",0.923519259321235,6.58613112562939,6.28963369215606,2.88565260961635e-08,4.51740749094092e-06,8.80031276401395,"No"
"MYO9B",0.666035007240322,6.35173995401629,6.27634671441591,3.04426136884604e-08,4.7211657153861e-06,8.74934353079606,"No"
"MIR634",-0.60442520572502,4.43870507456638,-6.26086930668937,3.23994576410808e-08,4.97811666755643e-06,8.69000221740294,"No"
"COL4A1",1.35772303710041,6.49443107794399,6.25331511999109,3.33993466504759e-08,5.06839491990015e-06,8.6610510395108,"Upregulated"
"COL5A2",1.46773516824662,5.91716585477635,6.25184181106466,3.35978932860683e-08,5.06839491990015e-06,8.65540555612133,"Upregulated"
"SFPQ",0.754948922949453,6.1382091503543,6.2461160966707,3.43806781123427e-08,5.09222776142228e-06,8.63346841798239,"No"
"SEPTIN7",0.705093161701284,5.29868122873948,6.24227210977168,3.49163226135718e-08,5.09222776142228e-06,8.61874338948142,"No"
"S100A10",1.03006905049823,7.38640599611426,6.24207649599892,3.49438007771645e-08,5.09222776142228e-06,8.61799411406251,"Upregulated"
"CALU",1.34223796647383,7.54104810828717,6.2417951081629,3.49833653611028e-08,5.09222776142228e-06,8.61691630068445,"Upregulated"
"C1orf210",-0.779213927203884,5.07246007036204,-6.2197739473362,3.82214242692573e-08,5.50699680526109e-06,8.53260235798077,"No"
"GKN2",-3.906686795575,5.66519533770249,-6.21798904185837,3.84965426907489e-08,5.50699680526109e-06,8.5257713947142,"Downregulated"
"PRKDC",1.0595261292239,6.09462566852876,6.21385140792983,3.91418744325927e-08,5.53912111950442e-06,8.50993812768115,"Upregulated"
"EPN3",-0.548099922602449,4.92861550608284,-6.21228662733946,3.93887123117706e-08,5.53912111950442e-06,8.50395090567797,"No"
"CACNA1A",-0.301362216625125,3.61181600671666,-6.20851296431691,3.99903583637893e-08,5.57647064444303e-06,8.48951342806637,"No"
"C9orf152",-0.806153413751517,4.61415534648331,-6.20009896139308,4.1364823092893e-08,5.72006562002888e-06,8.45733011823928,"No"
"TPM4",0.863157789285053,7.86774577497783,6.19666623167038,4.19389307971542e-08,5.75152576568576e-06,8.44420298565411,"No"
"PGCKA1",-0.503996410046923,4.29097310755064,-6.19424670689146,4.23483229553951e-08,5.76006615673629e-06,8.4349514923761,"No"
"STAT2",0.87579553680212,5.94823681075356,6.18842977764576,4.33488476340971e-08,5.84821770439193e-06,8.41271291158556,"No"
"LDHA",0.937265777997482,7.59492922076646,6.17282864965523,4.61494377306908e-08,6.17583685244422e-06,8.35309317626032,"No"
"ARHGEF37",-0.52274602174554,4.91127987518181,-6.16201128538938,4.81958201313465e-08,6.39809151407651e-06,8.31177582982102,"No"
"CBFB",1.04590366961029,6.55987514380727,6.15340685592733,4.98875618863692e-08,6.535530346226e-06,8.27892340227563,"Upregulated"
"B3GAT1",-0.46764226238158,4.2741114848802,-6.15233465491468,5.01024511847193e-08,6.535530346226e-06,8.27483043155431,"No"
"NUCKS1",0.688032553032165,6.90092643458111,6.14976168339203,5.06218715860325e-08,6.535530346226e-06,8.26500919777461,"No"
"CYSTM1",-1.09162144844288,6.94887134732946,-6.14885331102923,5.08065213127127e-08,6.535530346226e-06,8.26154210871195,"Downregulated"
"MAPRE1",0.766465484465559,7.38202883730977,6.13856779337754,5.2944447682071e-08,6.65870528247895e-06,8.22229293921864,"No"
"MSN",1.36637179876453,7.9449252377322,6.13778964630789,5.3109771787651e-08,6.65870528247895e-06,8.21932421370765,"Upregulated"
"DNAJB6",0.431324171224458,5.43842874674196,6.13566274669502,5.35642640930382e-08,6.65870528247895e-06,8.21121030598194,"No"
"LDLRAD3",0.416887018320876,5.97771008282389,6.13399758458133,5.39227761881559e-08,6.65870528247895e-06,8.20485836366301,"No"
"SFRP4",2.07271119730432,5.72198263434167,6.13362206622877,5.40039538224179e-08,6.65870528247895e-06,8.20342596671517,"Upregulated"
"YEATS2",0.439703445233574,5.04323739504055,6.13107504791548,5.45577597558484e-08,6.65870528247895e-06,8.19371105725157,"No"
"MIR4271",-0.642228235773992,4.12842622729661,-6.13100544121842,5.45729732684788e-08,6.65870528247895e-06,8.19344557539877,"No"
"GPT",-0.46076321537401,4.9211403106647,-6.12221972476483,5.65273446594892e-08,6.84682304583623e-06,8.15994260289759,"No"
"CIART",-0.456864101060726,4.21222979583303,-6.11852802884585,5.73690999103592e-08,6.89842640516305e-06,8.14586844935361,"No"
"NAP1L1",0.937491226173737,5.33091355920286,6.11245027727124,5.87820362217974e-08,7.01747560478062e-06,8.12270235002719,"No"
"AZGP1",-0.88530670183756,5.23496425143585,-6.09766889747057,6.2363847252391e-08,7.39189772361555e-06,8.06638538151683,"No"
"ANO7",-0.508402965448683,4.64164393025766,-6.08231541716214,6.6313204409463e-08,7.80426463808957e-06,8.00792518480052,"No"
"GCNT4",-1.61394595472958,4.29839160939845,-6.07634724923629,6.79143767465078e-08,7.81704260506051e-06,7.98521080013876,"Downregulated"
"LBH",0.631747111890223,5.62205499700526,6.07604772334739,6.79957363946034e-08,7.81704260506051e-06,7.98407097796105,"No"
"LGALS9C",-1.22178078135099,6.16034990610048,-6.07485974264074,6.83193769776404e-08,7.81704260506051e-06,7.97955035254944,"Downregulated"
"CLDN1",1.59033116589495,5.60216750562414,6.07319813200723,6.87746085197806e-08,7.81704260506051e-06,7.9732278019021,"Upregulated"
"ELOVL5",0.818543717649264,5.47094043585808,6.07318884375878,6.87771616451027e-08,7.81704260506051e-06,7.97319246067915,"No"
"MIR1275",-0.544112306943274,3.85377168526704,-6.06910472972907,6.99089325982811e-08,7.89162467711481e-06,7.95765399758503,"No"
"IRX2",-0.592810518634407,4.29513295852534,-6.06390305373877,7.13771334284035e-08,8.00291994669545e-06,7.93786753717345,"No"
"ZNF460",0.520265577177437,6.19589646812209,6.0573117638613,7.32814864580398e-08,8.16129520996451e-06,7.9128014624506,"No"
"PTPRN2",-0.66690773586306,5.20744351231456,-6.05312931892188,7.45158762659295e-08,8.24344300504556e-06,7.89689966389159,"No"
"TPD52L2",0.705768369115268,6.07563424701202,6.03972861794855,7.86112159239946e-08,8.63890408637594e-06,7.84596898568726,"No"
"UBFD1",0.45413199987247,5.37689506912187,6.03513071401843,8.00670880053396e-08,8.74100827868819e-06,7.82850099698631,"No"
"MIR885",-0.736801157827068,5.2608769745997,-6.02772409661697,8.24686311618123e-08,8.93825491768447e-06,7.80036971616089,"No"
"TMEM43",0.784012446933334,6.64504514307749,6.02598816157725,8.30417308825937e-08,8.93825491768447e-06,7.79377772861646,"No"
"GPR6",-0.319959817085562,4.19102584906604,-6.02463922964587,8.34897862023076e-08,8.93825491768447e-06,7.78865568095422,"No"
"PRPF4",0.582628294659367,5.25357534963097,6.02191913207652,8.44005724089769e-08,8.97784037534976e-06,7.77832808307711,"No"
"FBXW4",-0.268914163106148,5.98808145909074,-6.01565184115401,8.65366907387939e-08,9.14643214088882e-06,7.75453729155349,"No"
"ERLN",-1.50986328868318,4.89474287953812,-6.00699316449393,8.95761670003642e-08,9.40776528610154e-06,7.7216795723571,"Downregulated"
"GTPBP4",0.536646004044308,5.05687826946447,6.00023346423983,9.20222742016427e-08,9.58150248272618e-06,7.69603682023736,"No"
"CCNJL",-0.3274316779713,3.86400084445306,-5.99924565109307,9.23852234082312e-08,9.58150248272618e-06,7.6922902233822,"No"
"TXLNA",0.441151235684557,5.80365511051539,5.98989099216707,9.58933801396811e-08,9.8835698760116e-06,7.65681790931151,"No"
"KAZALD1",-0.405437258870466,4.29746514505219,-5.9838329307538,9.8235255766812e-08,1.00624434209536e-05,7.63385406025691,"No"
"FAM3B",-0.943776145219132,4.87625699487367,-5.98089295607168,9.93920761224391e-08,1.01184792096672e-05,7.62271197960222,"No"
"LINC03124",0.874732528397826,4.48772434294826,5.97796709309069,1.00556724930005e-07,1.01746237407836e-05,7.61162485440387,"No"
"WSB1",1.08666499232526,6.79379799400787,5.97505703634888,1.01728474497939e-07,1.01843248854318e-05,7.60059908636998,"Upregulated"
"NECAB3",-0.288098630210224,4.78284071435065,-5.97468296477823,1.01880072977081e-07,1.01843248854318e-05,7.59918189125438,"No"
"FCGR2C",1.19841083220922,5.60712756464248,5.97280935801925,1.02642752272034e-07,1.01991247377373e-05,7.59208397043762,"Upregulated"
"IRX2-DT",-0.42359405826265,4.39750127409838,-5.96736167288671,1.04892552213114e-07,1.02802035270376e-05,7.57144955700004,"No"
"TMEM171",-1.27631688311376,5.66214229464908,-5.96714956227396,1.04981130145938e-07,1.02802035270376e-05,7.57064624119055,"Downregulated"
"GNL3L",0.433141768248423,5.35557543738901,5.96634626809074,1.05317259226009e-07,1.02802035270376e-05,7.56760403646775,"No"
"HNRNPA3",0.719722712132124,6.76335234354305,5.96221874581919,1.07061236771899e-07,1.03893225906017e-05,7.55197421118752,"No"
"FNDC1",2.1405477775416,5.50762965817578,5.94408921680554,1.15065947771924e-07,1.11011880077169e-05,7.48335776326727,"Upregulated"
"KGD4",-0.32018956523725,3.9750334189014,-5.93494048064518,1.19327330897306e-07,1.14457672191324e-05,7.44875368141376,"No"
