"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"1552334_at",7.40855112775214,7.55685777766464,7.26116813687078,7.00001063105767,7.33495772156056,6.90334291515179,7.54558421289267,7.81773945493556
"1552335_at",6.41697453508571,6.50814426062709,6.54248182609682,6.238464350482,6.35841076351866,6.33762535431878,6.66875270247647,6.47266912186506
"1552337_s_at",5.85014143096461,5.63383731077726,5.79336828108941,5.9805942640228,5.6151756997346,5.75583820967128,5.72374053496798,5.8474663921478
"1552338_at",6.51417490521469,6.6070170677821,6.17549137523053,6.28640076879154,6.3441894845716,6.60774952689682,6.66928668971953,6.60988870745389
"1552340_at",5.4847035192733,5.16498917721537,5.18689411529451,5.21102158836398,5.36839287184001,5.20475338879165,5.36705479071523,5.13773304722719
"1552343_s_at",4.22812126003558,3.98645036099381,4.39486009535049,4.40570885568995,4.47306545348025,4.33660753189648,4.29643748741842,4.42000952367723
"1552344_s_at",7.38262162034044,7.77894114856919,7.54518331428789,7.90794770493746,7.54518331428789,7.58445082119724,7.14391014822401,7.72348092950576
"1552347_at",6.90296678762593,6.803934291459,6.64855625505547,6.9189272320346,6.57219280431968,7.38444941396172,6.42089355547167,7.56397322221562
"1552348_at",6.40534407201227,6.41917817742599,6.55270315487427,6.14296100746962,6.46806738825283,6.34918554052974,6.5148399281853,6.24454661389971
"1552349_a_at",5.11749723727903,5.14212039736899,5.2034265609611,4.97324279097926,4.9880909640133,4.7864389995802,5.25300302016065,4.84556941267187
"1552354_at",5.20790884582008,5.22378398795176,5.06436685483932,4.95687940321141,5.06518836840332,4.8331883902135,5.07480334868329,4.94013154329959
"1552355_s_at",6.36555080124684,6.22847066969601,6.20218011740835,5.91636043677318,6.24139147780713,6.05130607482368,6.26139475046968,6.06709718679237
"1552359_at",3.33118985308835,3.33743110588544,3.32159241992049,3.34054605674821,3.49046241935232,3.41833350709598,3.35899697502265,3.27176610528645
"1552360_a_at",5.96516988043823,5.72353631707877,5.64099843951553,5.92763447860333,5.68453014396201,6.23447933376358,5.68946402971938,6.38850531289478
"1552362_a_at",5.1347831294908,5.44415004227947,5.54805133975792,5.3995384787483,5.56274978020442,5.35241387042214,5.70373102978838,5.48297486228813
"1552364_s_at",5.47344948365807,5.67390985914332,5.80486429929418,5.32813116858886,5.98843102369362,5.5297050438959,5.69626592466305,5.49596880647933
"1552365_at",6.7761569079582,6.40653895724831,6.17810826109283,6.44541192816555,4.26857765943644,7.05784961636941,4.16812052981806,5.0222275670415
"1552367_a_at",5.14145911758918,4.45566932113607,4.86081938111296,4.70768186897086,4.45136320644096,5.02109521976914,4.33464524317492,4.20163552206922
"1552368_at",3.13885989128475,3.12017689052801,3.08545465509042,2.92566838179926,3.31152737856986,3.15167541489672,3.09014299113204,3.20087132019863
"1552370_at",5.55605175298762,6.0702001329202,5.57926777238298,6.73617348704194,5.88975313462582,6.60067811542408,5.67816920342499,7.00029841043045
"1552372_at",2.54096605457234,2.50642476772254,2.47190707997401,2.33907147345506,2.63669423443457,2.43332389874971,2.44489234395786,2.36148636941595
"1552373_s_at",3.2194140932519,2.95966125803942,2.86404562643302,2.93252065998189,2.71376817407135,2.82748348956856,3.02538478625974,2.96563186093061
"1552375_at",5.72522499328331,5.92077741534401,5.48753852547734,5.92011189272368,5.61556284325727,5.94948891771373,5.66969889477509,5.77882459840623
"1552377_s_at",7.92330300769647,7.61310236207151,7.76107523920708,7.30208212994482,7.66857468484145,7.34141383882002,7.81314538495408,7.55930545770348
"1552378_s_at",5.96697148863853,7.20283169665468,6.23655643477851,7.14367233954058,6.83089375799059,6.25623783600377,6.68932259034239,5.60919458601678
"1552379_at",2.51140201093675,2.34278815510926,2.41829542928974,2.49933705046445,2.32416744061144,2.28787464935041,2.36878551896829,2.34921781611326
"1552381_at",3.63835786356389,3.63024272920472,3.7245171742605,3.80368859230135,4.03538287467756,3.76110284926671,3.89397642042494,3.5963187101661
"1552383_at",7.01740580910887,6.68129051592979,7.26705196576306,6.58739535602493,6.99982630427451,6.79729454547347,7.14848579619331,6.57546692185919
"1552384_a_at",5.46455905805296,5.00016057684852,5.44159208591969,4.78182950506736,5.35491116980982,5.01911543816621,5.34745723111758,5.03738068641891
"1552386_at",2.70831934883982,2.63017637363321,2.79286587556904,2.2480307341895,2.65085013031268,2.65207399638411,2.61726182233538,2.71380301332838
"1552388_at",6.81705273820659,6.55362446636626,6.96875880609008,6.47368326544773,6.8733723681388,6.5788897670869,7.03227168915132,6.74004971503481
"1552389_at",4.03657598880649,3.23385569112586,3.65515823316753,3.48331935987724,3.54511047078121,3.23300168497823,3.42083262741833,3.15938042763102
"1552390_a_at",3.07017733668757,3.40608540656702,3.20106586348096,3.13407402150894,3.37907019202616,3.27619401623965,3.34435036056193,3.3995801897188
"1552391_at",5.72172382454374,4.97973669283849,5.40272915403404,5.39096756498137,5.33054199634918,5.14368682995599,5.32475671959648,5.29940449167267
"1552393_at",2.56260074749003,2.83035521052268,2.58094570411055,2.79628219726792,2.55695777880354,2.51309075244601,2.68097304731601,2.55279571476197
"1552394_a_at",3.0005103910261,2.97028732022835,2.9469249808733,2.77793709096381,2.90566885832919,2.96143508717298,2.76854994767926,3.04556908205613
"1552395_at",7.44962436919969,7.30717541682468,7.31683700092047,7.19607833415894,7.3679675252315,7.32172222166388,7.37715881338576,7.21660681975544
"1552396_at",4.46276491232706,4.62801206478126,4.76508024465347,4.85835994916159,5.08731311877878,4.56601378433506,4.94220211460478,4.53736964852783
"1552398_a_at",3.17350329462045,3.22078062443944,3.33677963904903,2.98093722675335,3.4399735564513,3.29514717743162,3.35512847980177,3.29895250003428
"1552399_a_at",4.86770093097382,4.71282176495458,4.97967762817055,4.93688003959208,5.01016984328996,4.99403026748313,4.99061658111153,4.85559505687924
"1552400_a_at",5.66465795299715,5.57502653989119,5.76922881109519,5.5270501261503,5.87283268562632,5.30977243379988,5.73957450436328,5.59385590301349
"1552401_a_at",3.75999606695358,3.74593285184295,3.80179282458026,3.56040797740344,3.79035801223625,3.49895767887612,3.56019656307048,3.74756229653553
"1552402_at",4.68198801758307,4.54566342323715,4.82800600127945,4.2949446335101,4.55528501650999,4.1834263026591,4.69468717234951,4.36519426115123
"1552405_at",4.97560029837298,5.09576195384162,5.29241321176642,5.28813023470274,5.27021789149464,5.13287674193519,5.50294400686321,4.92476127910377
"1552408_at",4.0137290754439,3.8408379324531,3.81939068104228,3.2605217714316,3.89334308807467,3.49171527103789,3.61229988148486,3.70126592718706
"1552409_a_at",6.70947448099695,6.58552308503259,6.93983078944022,6.52903324136548,6.81169907239952,6.69352589539218,6.84669921281003,6.45989608046537
"1552410_at",5.75164365953085,6.07207011589862,6.04066792334164,6.13215930234075,6.02648663948847,6.18898657007088,6.02451533549801,5.55271728008375
"1552411_at",7.30011662577238,7.5215570522763,7.63241557424834,7.53545697775703,7.60004318684707,7.58708900367825,7.55887993804715,7.32826180909625
"1552412_a_at",4.29277921888049,4.56832294456515,4.53018636566983,4.63583335051838,4.29106578915316,4.31280084425085,4.40865587586965,4.35365499251152
"1552414_at",5.21896203949703,5.47267342157847,5.39719003058975,5.0636886750976,5.51271361508623,5.22539481989764,5.51500533906356,5.03738068641891
"1552415_a_at",5.1807993102211,5.09990809321972,5.41832034941943,5.3143080674755,5.43789831831477,4.91303111276492,5.31441302673158,5.1546929875687
"1552417_a_at",5.66387757367835,5.75415935138641,4.98965911768,5.40064733421552,4.89603954562289,5.70220488149744,4.86530974813981,5.84580813833497
"1552418_at",5.61636083529035,5.62036529860236,5.68523179667347,5.42413721748268,5.736310336604,5.53226402328463,5.60659492431844,5.63035083559113
"1552419_s_at",6.09029014432392,6.14106943920955,6.38753276228149,6.17845501018536,6.13437833148986,6.00246627413807,6.43301509884991,5.89385167778045
"1552421_a_at",3.89560218061504,3.80523993451122,3.92876643267717,3.75242413550352,3.88800110416695,3.66211043850597,3.99747976588157,3.98141902659738
"1552422_at",5.70885333832855,5.8985312920922,5.86002259042163,5.87380408378217,6.4005119010328,5.65903380060309,5.62088913188384,5.23748758744972
"1552423_at",5.03356654386296,4.90694245226709,4.90984217821874,5.10267869829903,4.86098661248489,5.11355547560248,4.99767990951788,5.09502110483194
"1552424_at",3.76388134103431,3.42096963772989,3.62945900548995,3.51373043451816,3.59278365909458,3.48040149006161,3.65709890471962,3.74378717757582
"1552425_a_at",4.4744342539533,4.36833398255956,4.68273160310936,4.41293959685887,4.56593068790345,4.25556334308127,4.38416729657465,4.72907044162327
"1552426_a_at",9.549400447928,9.95241851226198,9.36669503774597,10.3964421557224,9.44608068304088,10.4621934333726,9.6622040499186,10.6078322623942
"1552427_at",3.43184270335034,3.48331935987724,3.7774663600701,3.93441885115767,3.78588424043792,4.01575215207454,3.60607478826552,4.11427568032132
"1552430_at",2.63546590067068,2.63340279747369,2.89620798650154,2.57301509652821,2.50219922108153,2.99219211457856,2.671518449743,2.71096115256156
"1552432_at",5.99325281981147,6.09005188146197,6.02429753803556,5.60328270864905,6.03322802166039,5.96931951627107,6.20052965442051,5.92548551068949
"1552436_a_at",5.66533288610668,5.37698260283647,5.82883309071962,5.23801472589185,5.78682540243251,5.10698628055353,5.98029251024649,5.43486819235564
"1552438_a_at",4.17425664731096,4.01939961981276,4.38876138224094,4.04045969195839,4.20155450777045,4.14965221781281,4.17471628027403,4.11263187410445
"1552439_s_at",3.05730334479309,3.05730334479309,3.11020476881581,3.0011273650256,3.11470464128262,3.03896290677989,3.02421530138906,2.79158410247538
"1552440_at",5.49969567854408,5.51944784557908,5.68154214409045,5.54165663311142,5.68028805031228,5.50554170248382,5.58500386900907,5.43570507413451
"1552445_a_at",4.70402945775413,4.42521058979493,4.57245935322586,4.15199461510632,4.49603998228919,4.2649379392915,4.50325031365591,4.33712800345242
"1552448_a_at",4.90921253510663,4.89193974832302,5.11973079435831,4.70223154299181,5.07985019674921,4.81234589470999,4.93711231407439,4.95079818849152
"1552449_a_at",3.8530912564173,4.01365251754293,4.21479836005278,4.13809758210687,4.00590805508668,3.93409189720628,4.11573071260723,4.01355746315792
"1552450_a_at",5.88208524752337,5.81771001910493,6.00637091890117,5.75230662756143,5.71442333233571,5.89700789962652,5.84933293348394,5.52000217025339
