"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"GPR182",5.90104785469994,5.81632076344745,5.9763505756335,5.90429376849395,5.97570598433503,5.88041292948759,5.92385418336158,5.76615539555608
"ESX1",4.70402945775413,4.42521058979493,4.57245935322586,4.15199461510632,4.49603998228919,4.2649379392915,4.50325031365591,4.33712800345242
"FAM167A-AS1",4.90921253510663,4.89193974832302,5.11973079435831,4.70223154299181,5.07985019674921,4.81234589470999,4.93711231407439,4.95079818849152
"SCGB1C1",3.8530912564173,4.01365251754293,4.21479836005278,4.13809758210687,4.00590805508668,3.93409189720628,4.11573071260723,4.01355746315792
"DNAJC5G",5.88208524752337,5.81771001910493,6.00637091890117,5.75230662756143,5.71442333233571,5.89700789962652,5.84933293348394,5.52000217025339
"WDR88",4.3285636637283,4.41694099288295,4.26855384843225,4.31240837693399,4.31046515124322,4.31117353477774,4.41013627410375,4.2913373962996
"PRUNE2",7.27370299715918,7.15011253852216,6.20833079176003,7.34775449931045,6.27383153509452,7.53224407735622,6.31007616993609,7.50775837190276
"MBD3L2",6.15539174052193,5.59369651907767,5.63356512335336,5.70568034214063,5.76112596068945,5.41259544434152,5.80950006831921,5.47561427675771
"ADAMTSL1",7.76253625772439,8.20255862782183,8.12626391083269,7.65345842644459,7.9712309442347,7.45393153540871,8.12706660849266,7.90776003383902
"MBD3L1",5.19673835560205,5.11539137467627,5.25859545996604,4.89656047415651,5.38265579842588,5.07031772822211,5.3888938319014,4.94805388558877
"TENT5D",3.40204765992942,3.40558336832667,3.50501104999128,3.30149660585469,3.34435036056193,3.29829511203463,3.36070478305881,3.09793005583215
"SERPINB11",4.0549991313123,4.31300168837741,4.39939245677859,4.09253820924762,4.22639645898364,4.09253820924762,4.29104286048763,4.06113441629964
"LINC00161",3.26014571779884,3.24724490923761,3.33972028234268,3.25083603227686,3.29360022171934,3.18838714432908,3.25126866542346,3.29228070574463
"DSCR10",6.26944708218133,6.46738879864124,6.52952179103501,6.02516067250432,6.52175635392981,6.17982864072974,6.50862400226444,6.19639110157276
"ABHD11",7.17827378088741,6.99823745551317,6.9538675950934,6.75675193589757,6.84750600879963,7.03889133461952,7.35239241216069,7.09203485049295
"ACAP2",6.39258930967256,6.57247694590975,6.5194813507949,6.76520610279485,6.43608698230745,7.00340904526667,6.09906817394824,6.64303972926603
"GAMT",9.17751542223849,9.03866970047937,9.32655695106129,8.83718957237837,9.47429403458778,8.8112597209275,9.07503597051354,8.81629945230612
"PLCD3",8.30620128147369,8.01521525416702,8.07967136535131,8.18795553397526,8.14089786159581,8.36217013892585,8.15100718231076,7.82748306625618
"IRF6",4.62375853660329,4.73196602080109,4.72993586883617,4.78802210801086,4.56532453142014,5.2111245168258,4.66876885610587,4.58483341684408
"PTPRC",3.41666243391423,3.29016786693708,3.35131009820649,3.36846065590645,3.48713798024571,3.22870401542299,3.30508483853609,3.22699128682763
"MAN1A2",6.02250891032737,6.02666797889248,6.01830139276678,6.11131965193108,5.87807510285322,6.14637142295776,5.76187773969866,6.27043350502877
"RAPH1",7.93237741259483,7.84558466456178,7.76983270730443,7.64162975005261,7.50061595480838,7.24217167561828,7.68212231651542,7.3417994438747
"SMCR8",7.0770790183614,7.10651582570652,7.26718652806183,7.21739557343638,7.21214947648194,7.164138807493,7.18455203042221,7.12194599128162
"LACTB",8.8851144377539,9.20480039594704,8.69619711723836,9.98380277951057,8.81596345267987,9.61331557355842,8.62311405280929,9.47254107275968
"BNC1",6.29152107673653,5.44462378478544,6.16932194317626,6.35419572135577,6.44036834529804,6.6285168726126,6.68900324407116,6.80246768179309
"MPP4",5.45574347428995,5.3239918189232,5.10877789220729,4.55781837854779,5.48712224793937,4.67933486558295,5.16793825749101,4.85802835537121
"AFG1L",3.54354832982715,3.70138385862965,3.63121940492952,3.75553964334932,3.53870009669105,3.5936564879619,3.72676323078994,3.75789659496237
"IDI2",5.8181760745143,5.76101201400523,5.90134748944538,5.75678592199379,5.89985132305516,5.63020088956467,5.90652103530864,5.67361450706271
"CYP11B1",4.85921771541307,4.86178998111928,4.9181750536231,4.59381338984761,4.77444683389625,4.74170832979699,5.00930546493558,4.70731705321078
"TAF8",6.04654318799486,6.06478130393299,6.07380892965592,6.02447945424774,6.18301130133908,5.9059088123223,6.14170448422691,6.09981761653072
"COBL",4.40305172715527,4.61319297499066,4.61978634585721,4.46792538807654,4.60064795260455,4.3940286878377,4.5971115197892,4.36791244964327
"SLAMF6",5.67208759383017,5.49283248967682,5.71456010072396,5.36940564337899,5.37622775105886,5.06019683359725,5.42241939147458,5.16531195691763
"ZSCAN20",5.09051807371163,5.00874103986918,5.01546326791948,4.77463507002591,5.06754854556954,4.85797467979767,5.0475238293906,5.03151697366149
"GPBAR1",6.75262003414036,6.67688312421346,6.85210293065638,6.48218173663248,6.87839840941561,6.62765941740616,6.94977275487188,6.54286398359123
"RHBDL2",7.17438781220908,6.99223514085875,7.33322679496818,7.41624403195889,7.46709947259637,7.38156968305266,7.36248035721832,7.26532646805608
"FRAS1",5.5676661699872,5.68057223805308,5.93736419224414,5.75648700654426,5.8188582092072,5.92105398790208,5.7631934230885,6.03713703889295
"BRSK1",5.70663347572758,6.01779136645092,5.91077423429868,6.10125791336785,6.02104140862698,5.63020088956467,6.03066605134239,5.5645260882684
"CRB2",4.19980391827839,4.47299394964338,4.61264347592103,4.36334832022424,4.69857058965915,4.37328256708627,4.5055151975217,4.43012450677469
"KCNE4",6.66981789185796,7.30408628101355,6.73844521408434,7.35415651484159,6.97533105166659,7.11311681979707,6.77929523659656,7.39403116376229
"CD300LG",5.04682445815963,5.09275550793603,5.23918027534202,5.04332630207998,5.16260007140907,4.96381853045664,5.31198185384904,4.96199441766701
"SLC34A3",7.23912004366298,7.13905959705408,7.28212479995833,6.9965620152546,7.25816179343388,7.01498370924853,7.36070386661844,6.99894944759028
"CPA6",2.97902011391566,2.99111933224143,3.01648017965387,2.95150094785302,3.12792268509623,2.99966448258814,2.93603549290682,2.77188510950763
"WBP2NL",3.54847740466823,3.53885795402751,3.67896947015243,3.58408194171786,3.76488103196421,3.59740892797987,3.63450808570889,3.61257371007922
"HIPK1",6.29624814666957,6.22429606357465,6.27040959508675,6.27020017884872,6.14907641485513,6.21252333020202,6.313342004143,5.9727094277076
"MTBP",3.3503764599557,3.59009410189607,3.53133444743679,3.5463393495833,3.52314059045256,3.40600639504638,3.67182346218006,3.54805105128195
"ACVR1C",4.383995778742,4.53889372545384,4.59015917115461,4.00477992281122,4.45942206376163,4.07495753754884,4.24120690778962,4.16430551939157
"TMEM74",3.86900280113868,3.80046117282005,4.02654574641591,3.87985453498796,4.07310400480045,3.79743729647923,4.10111976762926,3.77618042156473
"TIGD4",3.91168435494644,3.74527863330222,3.93667201168874,3.89612728018628,3.81205368126593,3.79053976200932,3.90466726241561,3.81898808127055
"ART5",6.97617269190294,7.01047781924166,7.10890880035365,7.07578220733687,7.33706072747092,7.19010452637644,7.49535193521207,7.11824958099473
"GARIN6",5.3258555152888,5.25664374480165,5.4747177611218,5.31128327301551,5.44627838755097,5.01592910090833,5.20787256861974,5.02356563472641
"LINC01547",6.55455738036333,6.44596400071706,6.52376480667605,6.34197658468058,6.44309803158188,6.33588349627442,6.62713200131808,6.31731226643342
"NLRP11",4.4880852276446,4.16638635107281,4.91131003761431,4.65290229505402,4.57047227928016,4.04330828927533,4.64986679916797,4.57151058263142
"ATP6V1C2",5.04940828190515,4.9422069111901,5.1023852835491,4.92302026999243,5.26664214864686,5.01287521436875,5.05633218439871,4.94012482332658
"CLDN19",6.57612020645211,6.59194445915384,6.54250722962502,6.45588086885296,6.71300340871986,6.45192827059971,6.6765496077324,6.38302085848785
"VTI1A",6.85083869450024,6.73136195537797,6.79562895985975,6.78377041434346,6.81846918255725,6.86010603514011,6.80585653230443,6.88068585568621
"KIF6",5.07796765310289,5.10671693556007,5.33357345724035,5.18148350131884,5.22736104284074,5.1410634245179,5.24115151897022,5.08795790389778
"IQCD",6.23490788765616,5.86485440438891,6.12954391062819,6.32138323820105,6.31247409701876,5.88013016465567,6.09031992362032,6.24121350481397
"TAGAP",4.3784430395179,4.19578221578269,4.22652047543902,3.96359333425873,4.15885081927801,4.05866803755721,4.20181027100194,4.12807278736473
"STON2",4.28646868650338,4.11449184124608,4.32607149370391,4.18235465102213,4.30660466285455,4.25934707986208,4.15592516544848,4.13726868096052
"SERPINA12",5.06908043558674,5.20707518634916,5.18612214879586,5.24031898936808,4.99297972333089,4.97384233994731,5.16499026647251,4.94934846412193
"LETM2",5.77557462522551,5.35375478762107,5.48993288672169,5.47711487579127,5.40097320450853,5.6779786466083,5.59181823553401,5.55572521685481
"BSND",5.62728240056347,5.57253950420085,5.81801417695419,5.58700332833198,5.8051280660448,5.50451870458245,5.83346881749699,5.53626536365464
"CLEC4C",3.22509335816044,3.15353617037473,3.27188716212458,3.22110708169879,3.37199936489285,3.11849296048926,3.25171184326811,3.18420203226345
"NLRC4",4.77205793885075,4.75387501933373,4.80653809775328,4.68694896353187,4.92796150719438,4.59585084934888,4.77451318353922,4.62334190843782
"PRSS36",6.25802374516954,6.37335823941204,6.29057245356277,6.04408345114253,6.06353289145457,5.93965243281695,6.13757187555986,6.03808778356552
"ZDHHC15",3.78004141036058,4.21014799954358,3.74089499008789,3.55663331297503,3.88841706201736,3.67843294579863,3.92183465682645,4.12457597508085
"RAI1",7.37966033521809,7.37550416019059,7.47782857620906,7.45726594983981,7.43026219281588,7.33797294532011,7.62915618721113,7.29754529454454
"CDK15",6.11317009927557,6.12072550320619,6.34953563021463,6.04122234033331,6.16422583503215,5.94293797281253,6.27530900412132,5.94673908716327
"ZNF570",5.27818801424964,5.32586766152558,5.26279502845393,5.695543726618,5.43848010647969,5.72176277161635,4.9508704627591,5.77037606230465
"NUDT9P1",4.27751153826224,4.18512345625239,4.32363510605187,4.02517696614025,4.37114794773986,4.554893394703,4.45406071043953,4.60288150189254
"BTBD16",4.48715492401969,4.95389636656626,4.96308109121084,4.83593030366063,5.1505580903109,4.6593308451177,4.96308109121084,4.58567684673588
"RTP3",5.80180959937523,5.88511300299244,6.0716657422227,5.83466194314011,6.11736430463085,5.81270819804834,6.10676312865899,5.73911389169167
"TSPEAR",4.58469337835998,4.40170639416905,4.59167905625338,4.35125752401086,4.57868236193597,4.48293162533077,4.72310022314939,4.37973312535306
"MIPOL1",3.92904380491056,3.98631293868311,3.95157776243589,4.19719750832677,3.90566794193589,4.14288996519477,3.88053931785927,4.2559237046238
"C6orf141",3.3067830915275,3.41024853575199,3.42609802603538,3.22535282352408,3.35940688620646,3.22175120166241,3.35411973958508,3.44409077305128
"ALMS1P1",5.02149393644819,4.89513485238587,5.19844622301301,5.03234194413287,5.02115944081441,4.68892363390045,5.2517599951577,4.94248362981741
"MYO3B",3.62270873247469,3.56151346805639,3.63089686540283,3.43814709653764,3.66830637407848,3.46389357899058,3.65150760913271,3.3516076189929
"ADAM21",5.23462692347946,4.99436526562256,5.28178696692765,4.90898480683332,5.29744170383072,5.09127093929264,5.1069276873897,5.01130218308308
"TRIML2",5.65546879890732,5.23543865531629,5.69025752912546,6.14302546189016,5.40765345781938,5.65285091819659,5.5672250490075,5.32529905869694
"ABCC13",4.02136462297574,3.92612663386528,4.09984883114849,3.90713603592558,4.13595254385064,3.87014790692651,4.03864610587205,3.84473026576265
"IL12RB1",5.81328765286344,5.74999893926732,5.85147645015108,5.8224008475691,5.88417153369426,5.77685942030452,5.93071325073823,5.72421462557083
"GTF2A1L",2.90776893073862,3.41121120582173,3.08000423591566,3.02009292973756,3.09524337592708,3.04033058223874,3.15803898577091,2.95012461217549
"TRPV3",5.4285894097514,5.53869750430416,5.61954633913371,5.67804282970263,5.69710867493119,5.43909122342013,5.84471496015157,5.52560986023681
"CNBD1",3.22480981511193,3.24389347113769,3.18365524706191,3.18262805381766,3.16632636133934,3.06414576452744,3.18650261121198,3.03856860250797
"ABCC12",3.97575305542092,4.05679152605913,4.12621547189449,3.93940338157285,4.19060352514011,4.1546200417036,4.19337608143633,4.01791250087615
