"","GSM2595136","GSM2595137","GSM2595138","GSM2595139","GSM2595140","GSM2595141","GSM2595142","GSM2595143"
"ATRIP",7.49016308659179,7.49016308659179,7.32327000251598,7.32327000251598,7.55141392352751,7.55141392352751,7.09919888280797,7.09919888280797
"TRIM67-AS1",5.95597411444866,5.95597411444866,6.34885264814795,6.34885264814795,6.30286569257535,6.30286569257535,5.84081542409726,5.84081542409726
"PANX2",7.43303564236949,7.43303564236949,7.32130857768936,7.32130857768936,7.47384277691765,7.47384277691765,7.23662913465219,7.23662913465219
"CCDC27",6.20958739694132,6.20958739694132,6.53564444414224,6.53564444414224,6.48645006125023,6.48645006125023,6.22924702673274,6.22924702673274
"NEUROD2",6.20450035686958,6.20450035686958,6.46494543364819,6.46494543364819,6.53571605562633,6.53571605562633,6.52133711043725,6.52133711043725
"LRRC15",7.52607720353539,7.52607720353539,7.65145816267309,7.65145816267309,7.7731804768616,7.7731804768616,7.22847554391199,7.22847554391199
"CFAP46",6.70521457725894,6.70521457725894,6.19678399142811,6.19678399142811,6.33800657914653,6.33800657914653,6.09910216734528,6.09910216734528
"DNAJB13",6.30108869671552,6.30108869671552,6.18380276899893,6.18380276899893,6.36308652806349,6.36308652806349,5.76908643321906,5.76908643321906
"CNPY3",7.8653536962141,7.8653536962141,7.89848665326399,7.89848665326399,7.72736714852229,7.72736714852229,7.92432323978754,7.92432323978754
"SCAMP1",7.92469474429571,7.92469474429571,8.47430216767208,8.47430216767208,8.3030909896421,8.3030909896421,8.16827719897493,8.16827719897493
"IL27",6.44961642899564,6.44961642899564,6.57070930706451,6.57070930706451,6.49265214649455,6.49265214649455,6.52218659573403,6.52218659573403
"IQCF1",6.62285350961829,6.62285350961829,6.33042700719629,6.33042700719629,6.4162342199445,6.4162342199445,6.10125791336785,6.10125791336785
"RECQL4",7.42876003586638,7.42876003586638,7.31465854360745,7.31465854360745,7.33341729900517,7.33341729900517,7.09749567069083,7.09749567069083
