"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"SHCBP1",-1.69352329805049,8.36110577059147,-9.2767640995136,1.93037955328148e-05,0.00249189143396944,3.4716447932564,"Downregulated"
"PDCD6-AHRR",-0.356609265161538,9.56296131694657,-9.26909678567878,1.94177526732549e-05,0.00249189143396944,3.4656141927165,"Not Significant"
"NPHP3",0.609204218259173,7.80245590264557,9.23124287975239,1.99915209016612e-05,0.00254449456197537,3.43576815565555,"Not Significant"
"SCRG1",-1.29104564178398,10.3147291356477,-9.21181065969441,2.02934209739286e-05,0.00254778113623127,3.42039966060521,"Downregulated"
"SHOX2",-0.826239538216546,7.38967528228198,-9.20728540136822,2.03644563566352e-05,0.00254778113623127,3.41681613702877,"Downregulated"
"RRM1",-0.628571152712331,9.02694417597003,-9.18650577265123,2.06942401621014e-05,0.00254778113623127,3.40033851364732,"Not Significant"
"RNASEH2A",-1.14778757007693,9.03788695102211,-9.17773373249374,2.08352487680239e-05,0.00254778113623127,3.39337150311854,"Downregulated"
"CDCA5",-1.37321253527275,8.32865250438736,-9.17758024051724,2.08377256762862e-05,0.00254778113623127,3.39324953684621,"Downregulated"
"TYMS",-0.400799468090142,10.2401794607099,-9.15403355697408,2.12216340881912e-05,0.00255944336209426,3.37451525187644,"Not Significant"
"ATL1",-0.345565995386929,9.29048264912876,-9.1515392354614,2.12627636340907e-05,0.00255944336209426,3.37252793212242,"Not Significant"
"EML1",-0.516896558889719,8.60821564202325,-9.13547794837221,2.15297500378684e-05,0.00257164583529246,3.3597185183576,"Not Significant"
"PIMREG",-1.10404787757984,8.02180855869216,-9.11046555267411,2.19530374883318e-05,0.00259219324340176,3.33972613608814,"Downregulated"
"TMEM123-DT",0.41755502473383,6.01583187983076,9.10564714341834,2.20356458094431e-05,0.00259219324340176,3.33586859373904,"Not Significant"
"CCDC51",0.573203073005768,9.89597187496055,9.08111166957149,2.24617244232311e-05,0.00262244854769875,3.31619476594485,"Not Significant"
"LINC00269",-0.392404647043963,6.17250404878002,-9.00977503187318,2.37538634938181e-05,0.00274095747157959,3.25869633390937,"Not Significant"
"WDR76",-0.675232738206788,5.87020496826745,-9.00571822982644,2.38298080025273e-05,0.00274095747157959,3.2554131401762,"Not Significant"
"DENND2B",-0.452674507664907,8.48798764816597,-8.99288980908749,2.40717540822681e-05,0.00274842792198132,3.24502152794918,"Not Significant"
"CDC6",-1.7507817967507,6.89323662866728,-8.97413869940431,2.44303653355045e-05,0.0027690125031366,3.22980625849543,"Downregulated"
"BARX2",0.35156606390025,7.19870648794019,8.92342339265707,2.54306120170842e-05,0.00286149669131365,3.18849881290443,"Not Significant"
"IL18RAP",0.377983197086632,5.64022264838332,8.88357109604249,2.62488089009566e-05,0.00293231298283492,3.1558791880085,"Not Significant"
"SFR1",-0.789244219411465,7.30659395942045,-8.86666426903583,2.66047845750117e-05,0.00293375300058591,3.14199793999115,"Downregulated"
"FAM83D",-1.82699437804495,8.18648294313407,-8.8650259613072,2.66395654999107e-05,0.00293375300058591,3.14065145854948,"Downregulated"
"TTC39C",-0.393496501842186,7.66750939053118,-8.85423096254774,2.6870017213365e-05,0.00293829314992347,3.13177332534753,"Not Significant"
"NCALD",-0.331500200209436,7.94052978045798,-8.83421358212977,2.73032759527038e-05,0.00296479209086423,3.11528275568729,"Not Significant"
"ZNF653",0.415003006862273,6.00962168287681,8.80686972755695,2.79077965607932e-05,0.00300939072913887,3.09269827214964,"Not Significant"
"WNT10B",0.328122970390978,6.88331971393873,8.79217793164755,2.8238779257911e-05,0.00301216013353485,3.08053579941554,"Not Significant"
"LOC105372733",-0.692879818562345,8.33528319960548,-8.78853864134487,2.83214438109279e-05,0.00301216013353485,3.07752002693012,"Not Significant"
"TDRP",0.493052555352747,5.80767056669285,8.76085663285006,2.89591618361454e-05,0.0030590330951814,3.05454144283671,"Not Significant"
"VAMP8",0.597617126354141,6.66454715873904,8.75228730406846,2.91598200180766e-05,0.00305941679216685,3.04741400397498,"Not Significant"
"FIRRM",-1.02616802667915,6.62432539110221,-8.73886105053794,2.94773425023196e-05,0.00306245631367201,3.03623342069859,"Downregulated"
"CCNE2",-1.5059500112307,6.07853180812851,-8.73441945906909,2.9583233323725e-05,0.00306245631367201,3.03253110774881,"Downregulated"
"FADS1",0.356131514118758,9.38247539432839,8.70929822518204,3.01902105034752e-05,0.00306429292841356,3.01155721133077,"Not Significant"
"FANCG",-1.08599771634534,7.33286926462313,-8.70740874616498,3.02364242412271e-05,0.00306429292841356,3.00997733477995,"Downregulated"
"MTFR2",-1.69539399246481,6.38104227923036,-8.70569907837805,3.02783082764243e-05,0.00306429292841356,3.00854752411592,"Downregulated"
"TBX5-AS1",1.22524557251728,6.79968305163774,8.70113924844811,3.03903342977645e-05,0.00306429292841356,3.00473278542455,"Upregulated"
"PSRC1",-1.45774472651143,7.72883658914726,-8.68246656294152,3.08539470227638e-05,0.00309096831851275,2.98909134972254,"Downregulated"
"FAM114A1",-0.460002460144953,11.2783818862666,-8.65975884451798,3.14284366606141e-05,0.00312833823375651,2.97002664500193,"Not Significant"
"URB1-AS1",0.421935817239588,7.98058118480924,8.63754879831006,3.20019327676548e-05,0.00316513383449773,2.9513336843818,"Not Significant"
"DNAJC9",-0.728251396796347,9.03178923227609,-8.61318714514675,3.26444852968851e-05,0.00320825042841792,2.93077723763771,"Downregulated"
"UTP20",0.370934849756351,8.66753393499366,8.58314378195065,3.34568501414448e-05,0.00326740861003997,2.90535047116935,"Not Significant"
"PHLDB3",0.355907394568804,6.58239611441096,8.56698051824321,3.39032370113249e-05,0.00329030915194908,2.891636040811,"Not Significant"
"AGMAT",-0.496363137347235,6.47890904585196,-8.55862962558001,3.41364732631979e-05,0.00329236743373253,2.88454077043653,"Not Significant"
"GINS4",-0.526981952242997,6.08007261705276,-8.51021116798461,3.55246496179758e-05,0.0034022126456635,2.84327317514874,"Not Significant"
"NCK2",0.65075926174331,9.51494472265166,8.49608921607162,3.59413381832492e-05,0.0034022126456635,2.83119520132225,"Not Significant"
"LOC90246",0.610259747749063,5.8032465970909,8.49339821943894,3.60213582154102e-05,0.0034022126456635,2.82889155113574,"Not Significant"
"MCM4",-0.645323400705403,7.39959587833786,-8.48902602085293,3.61517958870735e-05,0.0034022126456635,2.82514723025493,"Not Significant"
"LMNB2",-0.531217270320452,9.00361810082865,-8.47736866424487,3.65021632881383e-05,0.00341449151529043,2.81515508483345,"Not Significant"
"FIGNL1",-0.50732268425712,6.94098784188166,-8.46201487927491,3.6969435228753e-05,0.00343749335468309,2.80197482533008,"Not Significant"
"EI24",0.314479488249713,10.7655102814676,8.45264326581611,3.7257932512015e-05,0.00344369747646768,2.7939188526652,"Not Significant"
"BRI3BP",-0.49160827860918,8.24228413012263,-8.43236506061541,3.78908349785261e-05,0.00348147269554174,2.77645872816268,"Not Significant"
"PSG4",-1.07354230708907,7.2045108661553,-8.39396771924253,3.91224493368551e-05,0.00357349054883933,2.74328961731529,"Downregulated"
"LOC730101",-0.33788511841504,6.4059086123027,-8.38355274272608,3.94641846684792e-05,0.00358086602140387,2.73426832721052,"Not Significant"
"NUSAP1",-1.5270590997805,7.72677163327914,-8.37749725985157,3.9664409819775e-05,0.00358086602140387,2.72901835614204,"Downregulated"
"MAST1",0.390946454855316,5.99515212876178,8.36436530270622,4.01025321592766e-05,0.00359949201947542,2.7176210759568,"Not Significant"
"ZNF341",-0.346040436957702,6.69685858416882,-8.34800183144807,4.06560550325251e-05,0.00362820242841983,2.70339581445786,"Not Significant"
"TRIM58",0.569124472284918,5.96013717982943,8.33796843892748,4.09996724759571e-05,0.00363795950975235,2.69466065030293,"Not Significant"
"NRM",-0.54949686357193,8.62900390928425,-8.32649035201017,4.13967531895686e-05,0.00365232263367967,2.68465573578766,"Not Significant"
"GSTCD",-0.380263561129215,7.04991099180169,-8.29182244495387,4.26224127247179e-05,0.00373921369937525,2.65435944878079,"Not Significant"
"EIF2AK1",-0.434984971405845,8.94230575876394,-8.27448926550201,4.32503816913886e-05,0.00377033297466196,2.63916795681101,"Not Significant"
"CKMT1B",0.360392972122415,6.37017989510233,8.26869099451273,4.3462751317909e-05,0.00377033297466196,2.63407954961961,"Not Significant"
"ERCC6L",-0.800898111898745,6.61294215619202,-8.24693501391393,4.42700458736075e-05,0.00378594976096483,2.61495764904162,"Downregulated"
"LINC00665",-0.900871974342439,5.89544343064396,-8.23822576657699,4.45979028007832e-05,0.00378594976096483,2.60728981116761,"Downregulated"
"TIMELESS",-1.08330958633792,7.60667388796439,-8.23516388619927,4.47138101545353e-05,0.00378594976096483,2.60459227947676,"Downregulated"
"KNTC1",-0.579255978537642,6.03127914012093,-8.23508653307159,4.47167427095024e-05,0.00378594976096483,2.60452411901679,"Not Significant"
"CHD3",-0.309056159507605,8.25305232990042,-8.23126613099679,4.48618467296193e-05,0.00378594976096483,2.60115700009583,"Not Significant"
"DIAPH3",-0.607512472790134,7.18348976069686,-8.21016780994228,4.56727251405714e-05,0.00383354635666375,2.58253598686258,"Not Significant"
"MRPL9",0.339092908436939,10.4744984640977,8.20317977757359,4.59448980456992e-05,0.00383565794007321,2.57635876082596,"Not Significant"
"NPPB",0.406882657924094,6.36362062809544,8.19153233390353,4.6402584141856e-05,0.00385315147890235,2.56605198507903,"Not Significant"
"OTOR",0.409535048967103,6.06029914779194,8.15468966479544,4.78841906429326e-05,0.00395503038459286,2.53336124281603,"Not Significant"
"RAD51AP1",-1.59133038766381,7.49063534988007,-8.13834146318281,4.85584910154634e-05,0.00398950396025458,2.51881200209515,"Downregulated"
"PRG4",-3.30269756743876,6.37486718080834,-8.12223642241659,4.92331488356685e-05,0.00400644045461023,2.50445300156735,"Downregulated"
"LIMD2",0.332202472401429,5.79786425365806,8.12111150833767,4.92806624697678e-05,0.00400644045461023,2.50344907399889,"Not Significant"
"TCF19",-1.2640244555108,7.89456256921248,-8.09270416808318,5.04976625518976e-05,0.00408399845888472,2.4780548272971,"Downregulated"
"CYP2W1",0.377015062378931,6.63429263188227,8.08249382987517,5.0943255082753e-05,0.00409868841930046,2.46890761458128,"Not Significant"
"PDE7B",-0.416234796424526,6.92132583871125,-8.07641170336749,5.12107730947088e-05,0.00409897363203422,2.46345377174647,"Not Significant"
"TOP2A",-1.95132313997757,8.56007656915492,-8.05537152533572,5.21483831624241e-05,0.00412543219355868,2.44455818151773,"Downregulated"
"LINC03008",0.309867826865972,6.57879697022694,8.05441139786261,5.21916242421098e-05,0.00412543219355868,2.44369484822199,"Not Significant"
"HELLS",-1.1210409497957,6.15644869459527,-8.05115975252446,5.23383656704702e-05,0.00412543219355868,2.44077031929768,"Downregulated"
"PIGW",0.319953443188115,7.89593456384476,8.03652737252358,5.30044273937326e-05,0.00415683206348424,2.42759667604297,"Not Significant"
"CES1P1",0.42522841597996,5.99330534230729,8.0292739336721,5.33381067490956e-05,0.00416198051055255,2.42105828038236,"Not Significant"
"LINC02511",-0.600788549361944,5.88520097403371,-8.02295325378625,5.36307897839914e-05,0.00416389451882909,2.4153563248593,"Not Significant"
"LINC01731",0.541679404455708,5.95030586084355,8.00212221504706,5.4608152283947e-05,0.00421868352569716,2.39653557052164,"Not Significant"
"DTL",-2.36104068768003,7.33515656283506,-7.96469671894813,5.64144688372226e-05,0.00433572038429809,2.36261024074882,"Downregulated"
