"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"ACAN",-0.982861290353231,8.97782995449009,-6.57446431609086,0.000207803899622911,0.00874465841014785,0.992923401541987,"Downregulated"
"HS3ST3A1",1.28663704080306,9.51364229603719,6.50437894157626,0.000223111543410436,0.00916090433141563,0.917789588698453,"Upregulated"
"C3orf70",-1.02612333447521,7.10288180204781,-6.44720078274538,0.000236529520554507,0.00944172338090073,0.85602775005634,"Downregulated"
"IRX1",2.02531356315414,7.09946492475471,6.43834576860625,0.000238686498278934,0.00949975922294109,0.84642527617684,"Upregulated"
"SPX",-0.806149237288336,6.34481240460993,-6.35330249167523,0.000260550582318766,0.010064252343895,0.753686401861644,"Downregulated"
"CXCL6",-2.32535315530006,5.90350478010145,-6.28880007318035,0.000278616498442792,0.010471376709107,0.682718131336298,"Downregulated"
"AKAP12",-1.07076316246503,9.22565387363081,-6.23816037348934,0.000293774235460726,0.0108354544613638,0.626618595541153,"Downregulated"
"SPIN4",-1.09466476141036,8.23783121980068,-6.22930639216108,0.000296517190294239,0.0109107083670354,0.616775157162992,"Downregulated"
"HMMR",-2.00525641058548,7.15821741951851,-6.22396418703285,0.000298185921194468,0.0109203560950653,0.610830914882833,"Downregulated"
"RPS6KA5",-0.745695389826349,5.73282378751394,-6.14989260790354,0.000322428633893458,0.0115361102006857,0.528020178988291,"Downregulated"
"LYSET",0.831915273379693,9.74451319023255,6.1309967229946,0.00032895719742873,0.0116356431928777,0.506777438899254,"Upregulated"
"PNPLA3",0.762085874749193,6.12180105171256,6.12002222836361,0.000332816024802069,0.0117187465603776,0.494417902645448,"Upregulated"
"ECHDC3",-0.838323594176433,7.17358791755686,-6.11147592656169,0.000335855780430801,0.0117990238880757,0.484781787319141,"Downregulated"
"TMPO",-0.995701669485292,8.67235740454857,-6.0118766079576,0.00037364212813499,0.0127150951309913,0.371753479313921,"Downregulated"
"GPX3",0.869401478600828,10.1262101995714,6.00438098719006,0.000376670772814012,0.0127150951309913,0.363192693430212,"Upregulated"
"LIAT1",-0.723289570361407,7.4637671804863,-5.99525381604499,0.000380395388682839,0.0127852372196258,0.35275815085232,"Downregulated"
"HHIP-AS1",-1.4261303066899,8.2003173263869,-5.97198927139672,0.000390074832886274,0.0129154334562779,0.326109690187605,"Downregulated"
"IL17D",-1.12136274271119,7.56346347598943,-5.96555215138507,0.000392800962954794,0.0129499221927007,0.318723176575764,"Downregulated"
"ACOT4",-0.834033440493792,6.04432917518743,-5.95063177583086,0.000399201166847481,0.0130957074435995,0.301580378728807,"Downregulated"
